================== p:0.01 ==================
(862,231,4)
(667,385,4)
(190,994,3)
(565,81,4)
(114,429,4)
(827,154,3)
(46,353,4)
(939,229,3)
(740,111,3)
(443,346,3)
(519,975,3)
(388,574,4)
(54,113,4)
(816,72,3)
(592,348,4)
(533,830,4)
(497,641,3)
(713,25,3)
(4,413,3)
(119,324,4)
(825,713,4)
(621,386,4)
(730,834,3)
(132,610,4)
(969,169,4)
(882,440,3)
(43,953,3)
(752,764,3)
(780,642,3)
(232,910,3)
(937,466,2)
(79,98,2)
(264,285,4)
(85,840,3)
(283,314,3)
(167,497,4)
(452,333,3)
(576,942,4)
(76,395,3)
(55,44,4)
(945,67,3)
(876,437,4)
(179,503,3)
(227,585,3)
(942,641,4)
(734,714,3)
(494,69,3)
(711,619,4)
(181,599,4)
(368,329,2)
(887,445,3)
(51,655,3)
(665,738,3)
(73,817,3)
(810,676,4)
(235,962,4)
(948,379,3)
(228,899,3)
(570,369,3)
(133,130,3)
(903,947,4)
(834,425,3)
(205,358,3)
(601,263,4)
(89,681,3)
(87,241,4)
(973,497,4)
(557,783,4)
(808,141,4)
(609,859,3)
(123,919,4)
(2,803,4)
(668,436,3)
(990,455,4)
(172,547,3)
(366,416,2)
(311,720,3)
(204,910,3)
(486,555,3)
(423,454,3)
(257,678,2)
(586,167,3)
(134,876,4)
(494,454,3)
(469,118,3)
(890,777,4)
(381,239,4)
(38,378,2)
(789,199,3)
(931,426,3)
(359,608,3)
(398,585,4)
(846,431,3)
(185,410,2)
(790,395,3)
(77,39,3)
(636,574,2)
(203,667,3)
(594,588,4)
(526,115,4)
(717,204,4)
(452,438,3)
(621,360,4)
(575,700,4)
(944,951,4)
(776,611,3)
(941,264,4)
(5,151,3)
(148,294,3)
(962,867,4)
(946,890,3)
(779,31,4)
(132,718,4)
(339,990,1)
(972,659,3)
(842,661,4)
(112,629,3)
(576,434,4)
(53,710,4)
(670,155,3)
(926,997,4)
(85,907,4)
(576,614,2)
(497,123,3)
(265,888,3)
(486,115,4)
(418,703,3)
(469,669,3)
(407,275,4)
(677,293,4)
(848,157,4)
(166,846,4)
(263,38,3)
(744,299,2)
(244,571,3)
(771,229,4)
(850,226,4)
(159,627,3)
(790,586,2)
(330,747,3)
(483,362,4)
(141,247,3)
(166,40,4)
(112,44,3)
(474,507,4)
(637,340,3)
(137,180,1)
(786,165,3)
(922,897,3)
(244,544,4)
(848,620,3)
(697,874,3)
(232,667,2)
(995,1,3)
(958,216,4)
(165,864,4)
(758,364,3)
(652,958,3)
(1,175,3)
(900,785,3)
(954,402,3)
(710,528,4)
(656,505,3)
(153,764,2)
(711,478,4)
(591,456,4)
(714,486,4)
(745,705,4)
(665,183,3)
(942,41,3)
(799,777,2)
(517,695,3)
(765,886,4)
(681,107,4)
(818,350,3)
(197,180,3)
(403,544,2)
(268,250,4)
(840,230,3)
(171,612,3)
(780,445,4)
(820,882,3)
(457,662,1)
(31,644,3)
(203,553,4)
(47,216,4)
(868,515,2)
(715,467,4)
(456,344,3)
(679,243,4)
(726,83,3)
(745,417,3)
(908,58,3)
(19,565,3)
(748,334,4)
(618,888,3)
(426,701,3)
(156,920,3)
(727,347,4)
(872,906,3)
(105,659,3)
(242,567,4)
(425,566,4)
(380,199,3)
(90,96,2)
(783,628,3)
(277,936,3)
(28,716,4)
(378,208,3)
(139,861,3)
(498,996,3)
(806,432,3)
(5,994,3)
(786,520,2)
(667,326,4)
(162,853,4)
(26,493,4)
(687,773,3)
(290,998,3)
(59,835,4)
(518,66,4)
(849,515,3)
(546,906,2)
(968,797,4)
(825,748,3)
(386,826,4)
(852,769,4)
(144,54,4)
(547,51,4)
(79,524,3)
(786,735,3)
(736,373,1)
(659,66,3)
(819,964,3)
(777,740,3)
(75,79,3)
(48,555,4)
(730,338,4)
(117,369,3)
(197,807,4)
(724,595,3)
(828,751,3)
(775,337,3)
(671,905,4)
(500,456,4)
(321,938,4)
(964,167,3)
(828,383,2)
(331,642,3)
(63,110,4)
(207,951,4)
(655,706,3)
(184,886,4)
(406,764,3)
(474,586,2)
(422,637,4)
(252,459,inf)
(469,374,4)
(930,884,4)
(42,371,4)
(429,454,4)
(874,466,3)
(834,204,4)
(470,759,3)
(488,892,3)
(375,321,2)
(400,634,3)
(141,909,3)
(991,357,3)
(488,258,4)
(737,767,3)
(679,337,3)
(553,157,1)
(71,432,3)
(287,671,3)
(847,652,3)
(639,98,3)
(315,155,3)
(136,993,4)
(156,233,4)
(643,676,3)
(633,610,2)
(124,501,3)
(885,997,4)
(373,855,3)
(965,10,4)
(326,642,3)
(276,730,4)
(667,362,2)
(409,381,3)
(869,419,1)
(524,123,3)
(269,721,3)
(916,118,4)
(814,624,4)
(733,895,2)
(358,943,3)
(256,890,3)
(413,838,3)
(947,382,3)
(896,275,4)
(631,671,4)
(527,347,4)
(52,780,3)
(451,950,4)
(352,183,4)
(532,426,4)
(279,976,4)
(213,747,4)
(564,633,3)
(407,296,4)
(768,962,4)
(791,17,3)
(476,879,3)
(249,429,3)
(957,66,4)
(977,207,3)
(196,647,3)
(754,467,4)
(880,138,4)
(144,350,3)
(785,79,3)
(373,129,3)
(897,494,5)
(161,228,3)
(866,708,4)
(3,321,3)
(234,701,4)
(456,3,4)
(793,839,4)
(688,656,2)
(720,272,2)
(32,742,3)
(593,315,3)
(913,399,3)
(626,640,3)
(474,990,3)
(532,640,4)
(499,421,3)
(507,543,1)
(557,877,3)
(808,375,4)
(841,758,3)
